2024-12-28 04:07:37 - INFO - Static files mounted
2024-12-28 04:07:37 - INFO - toLetter filter added to Jinja2 environment
2024-12-28 04:07:43 - INFO - GET request received for index page
2024-12-28 04:07:45 - INFO - GET request received for index page
2024-12-28 04:07:49 - INFO - GET request received for index page
2024-12-28 04:07:55 - INFO - GET request received for index page
2024-12-28 04:07:57 - INFO - GET request received for index page
2024-12-28 04:08:00 - INFO - GET request received for index page
2024-12-28 04:08:03 - INFO - GET request received for index page
2024-12-28 04:08:07 - INFO - GET request received for index page
2024-12-28 04:08:09 - INFO - GET request received for index page
2024-12-28 04:08:16 - INFO - GET request received for index page
2024-12-28 04:09:11 - INFO - GET request received for index page
2024-12-28 04:09:25 - INFO - GET request received for index page
2024-12-28 04:09:29 - INFO - GET request received for index page
2024-12-28 04:10:50 - INFO - GET request received for index page
2024-12-28 04:10:54 - INFO - GET request received for index page
2024-12-28 04:10:57 - INFO - GET request received for index page
2024-12-28 04:11:53 - INFO - GET request received for index page
2024-12-28 04:11:55 - INFO - GET request received for index page
2024-12-28 04:12:08 - INFO - GET request received for index page
2024-12-28 04:12:12 - INFO - GET request received for index page
2024-12-28 04:12:28 - INFO - GET request received for index page
2024-12-28 04:12:31 - INFO - GET request received for index page
2024-12-28 04:12:37 - INFO - GET request received for index page
2024-12-28 04:16:17 - INFO - GET request received for index page
2024-12-28 04:16:41 - INFO - GET request received for index page
2024-12-28 04:19:39 - INFO - GET request received for index page
2024-12-28 04:19:45 - INFO - GET request received for index page
2024-12-28 04:19:49 - INFO - GET request received for index page
2024-12-28 04:19:53 - INFO - GET request received for index page
2024-12-28 04:21:59 - INFO - GET request received for index page
2024-12-28 04:24:04 - INFO - GET request received for index page
2024-12-28 04:24:07 - INFO - GET request received for index page
2024-12-28 04:24:10 - INFO - GET request received for index page
2024-12-28 04:27:20 - INFO - GET request received for index page
2024-12-28 04:32:19 - INFO - GET request received for index page
2024-12-28 04:32:21 - INFO - GET request received for index page
2024-12-28 04:42:05 - INFO - GET request received for index page
2024-12-28 04:42:11 - INFO - GET request received for index page
2024-12-28 04:48:03 - INFO - GET request received for index page
2024-12-28 04:49:45 - INFO - GET request received for index page
2024-12-28 04:49:49 - INFO - GET request received for index page
2024-12-28 04:51:59 - INFO - GET request received for index page
2024-12-28 04:53:07 - INFO - GET request received for index page
2024-12-28 04:55:14 - INFO - GET request received for index page
2024-12-28 05:01:11 - INFO - GET request received for index page
2024-12-28 05:01:13 - INFO - GET request received for index page
2024-12-28 05:14:21 - INFO - GET request received for index page
2024-12-28 05:14:22 - INFO - GET request received for index page
2024-12-28 05:14:22 - INFO - GET request received for index page
2024-12-28 05:14:36 - INFO - GET request received for index page
2024-12-28 05:14:36 - INFO - GET request received for index page
2024-12-28 05:14:37 - INFO - GET request received for index page
